Title,Bank Name,Banking,Technology,Finance,Marketing,Analytics,Management,Cyber Security,Data Science,Assigned Cluster,Assigned Category
merrill-edge-financial-solutions-advisor-development-program--arlington-area---financial-center-arlington-va,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
merrill-edge-financial-solutions-advisor-development-program--north-valley--financial-center-nv,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
data-management-consultant,Bank Of America,4,10,5,4,2,0,2,3,technology,FinTech
senior-relationship-manager-%e2%80%93-middle-market-banking-syracuse-ny,Bank Of America,12,2,13,12,2,2,1,4,finance,Finance
commercial-associate-%e2%80%93-middle-market-banking-rochester-buffalo,Bank Of America,14,5,10,14,3,3,1,8,banking,Finance
relationship-banker-elk-grove-village-il-70-biesterfield-rd,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
financial-center-manager-skokie-il-3328-w-touhy-ave,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
relationship-manager-sales--santa-ana-market--tustin-financial-center,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
consumer-product-strategy-analyst-iii,Bank Of America,4,7,4,3,13,1,0,13,analytics,FinTech
relationship-banker-south-bay-east-market-watts-financial-center-los-angeles-ca-spanish-fluency-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
risk-analysis-specialist-counterparty-credit-risk,Bank Of America,6,7,7,11,7,5,0,13,data science,FinTech
java-developer,Bank Of America,3,29,3,9,7,4,8,8,technology,FinTech
ohio-market-merrill-edge-financial-solutions-advisor-high-and-8th-financial-center-columbus--oh,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
ohio-market-merrill-edge-financial-solutions-advisor-crossings-of-becket-financial-center-west-chester--oh,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
business-banking-sr-relationship-manager-rm-san-antonio-tx,Bank Of America,11,4,9,11,3,3,1,6,banking,Finance
client-service-representative,Bank Of America,27,21,20,20,2,5,3,20,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
seasonal-client-associate,Bank Of America,2,0,2,1,0,0,0,1,banking,Finance
sag-portfolio-officer,Bank Of America,7,0,7,5,1,0,0,1,banking,Finance
performance-engineer,Bank Of America,5,8,3,10,3,3,3,7,marketing,Finance
resident-director,Bank Of America,13,4,14,11,3,2,0,8,finance,Finance
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
client-associate,Bank Of America,2,0,2,1,0,0,0,1,banking,Finance
java-developer-equity-linked-products,Bank Of America,0,11,0,1,3,1,3,4,technology,FinTech
small-business-banker-manager,Bank Of America,29,6,29,21,3,12,0,12,banking,Finance
seasonal-client-associate,Bank Of America,2,0,2,1,0,0,0,1,banking,Finance
perimeter-security-services-core-engineering,Bank Of America,5,15,3,7,5,3,3,12,technology,FinTech
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
hillsborough-tampa-palms-financial-center-manager--branch-manager-spanish-preferred,Bank Of America,29,10,26,23,4,18,1,10,banking,Finance
relationship-banker-university-fc--berkeley-ca--spanish-speaker-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-manager-dublin-fc--dublin-ca,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-manager-alhambra-main-financial-center-alhambra-ca-bilingual-mandarin-preferred,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
relationship-banker-monterey-park-financial-center-monterey-park-ca-bilingual-mandarin-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-banker-atlantic-garvey-financial-center-monterey-park-ca-bilingual-mandarin-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
associate--ficc-sales-mortgages,Bank Of America,4,4,7,8,0,1,0,2,marketing,Finance
commercial-associate-%e2%80%93business-banking-minneapolis,Bank Of America,11,4,7,12,3,3,1,7,marketing,Finance
commercial-associate-%e2%80%93-business-banking--indianapolis,Bank Of America,11,4,7,12,3,3,1,7,marketing,Finance
consumer-client-underwriting-reporting-analyst-sas,Bank Of America,0,8,1,4,8,0,0,11,data science,FinTech
consumer-product-strategic-analyst-iii-check-fraud,Bank Of America,3,6,3,4,6,2,1,6,technology,FinTech
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
relationship-manager-retail-banking-paradise-valley-tatum-financial-center-phoenix-az,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-operations-manager-tatum-and-bell-financial-center-phoenix-az,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
compliance-and-operational-risk-manager-%e2%80%93-futures-options-otc-clearing,Bank Of America,3,0,4,4,0,0,0,0,finance,Finance
cs-lending-officer-%e2%80%93-spanish-required,Bank Of America,21,24,20,26,6,7,6,25,marketing,Finance
merrill-edge-medallion-specialist-hunt-valley-md,Bank Of America,48,26,23,33,21,11,8,41,banking,Finance
merrill-edge-medallion-specialist-chandler-az,Bank Of America,48,26,23,33,21,11,8,41,banking,Finance
advisor-development-program-relationship-manager-daly-city-colma-financial-center-daly-city-ca,Bank Of America,8,8,8,6,0,0,1,10,data science,FinTech
advisor-development-program-relationship-manager-foster-city-financial-center-foster-city-ca,Bank Of America,8,8,8,6,0,0,1,10,data science,FinTech
advisor-development-program-relationship-manager-castro-valley-financial-center-castro-valley-ca,Bank Of America,8,8,8,6,0,0,1,10,data science,FinTech
merrill-edge-financial-solutions-advisor-development-program-orange-county-areas,Bank Of America,4,3,5,4,0,1,0,2,finance,Finance
merrill-lynch-financial-advisor-development-program-career-night-event-oklahoma-city-ok-february-21st-2019-500pm-cst,Bank Of America,16,19,16,14,1,3,2,16,technology,FinTech
business-banking-relationship-manager-development-program--melville-ny,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--fort-lauderdale-fl,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--burlington-ma,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
merrill-edge-financial-solutions-advisor-development-program--college-station-tx,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
merrill-edge-financial-solutions-advisor-development-program--spring-tx,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
commercial-associate-%e2%80%93-middle-market-dallas-tx,Bank Of America,11,4,7,12,3,3,1,7,marketing,Finance
fc-lending-officer-vancouver-wa,Bank Of America,26,27,26,28,7,7,6,29,data science,FinTech
gwim-operations-representative,Bank Of America,11,4,3,3,3,0,0,4,banking,Finance
senior-regulatory-reporting-controller,Bank Of America,1,1,0,0,0,0,0,1,banking,Finance
commercial-support-specialist-cleveland,Bank Of America,4,0,2,7,1,3,2,2,marketing,Finance
merrill-edge-financial-solutions-advisor-development-program-scottsdale-phoenix-tucson-east-valley-and-surrounding-areas-az,Bank Of America,4,3,5,4,0,1,0,2,finance,Finance
relationship-manager-oakland-nj-financial-center-full-time-40-hrs-full-benefits,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-manager-brooklyn-ny-williamsburg-area-financial-centers-full-time-40-hrs-bilingual-spanish-preferred-full-benefits,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
relationship-manager-mansfield-tx-2821-matlock-rd,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-operations-manager-arlington-tx-1020-e-pioneer-pkwy,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
relationship-manager-grand-prairie-tx-2405-w-interstate-20,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker-columbia-south-fc-columbia-mo,Bank Of America,80,33,66,48,1,36,2,14,banking,Finance
relationship-manger-retail-banking--bilingual-spanish-required--broadway-and-greenfield-fc-%e2%80%93-mesa-az,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker-islington-st-financial-center,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
event-review-supervision,Bank Of America,3,0,3,2,0,0,0,1,banking,Finance
fc-lending-officer-tucson-az,Bank Of America,26,27,26,28,7,7,6,29,data science,FinTech
commercial-credit-underwriter-ii,Bank Of America,20,10,10,11,3,1,0,7,banking,Finance
seasonal-client-associate-the-star,Bank Of America,5,0,5,3,0,0,0,2,banking,Finance
relationship-manager-retail-banking-bilingual-spanish-required-7th-and-hatcher-financial-center-phoenix-az,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-manager-retail-banking-bilingual-spanish-required-40th-and-broadway-financial-center-phoenix-az,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
merrill-edge-financial-solutions-advisor-development-program--williamsburg-financial-center-ny,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
java---python-developer,Bank Of America,11,15,15,11,6,0,2,8,technology,FinTech
gfc-banking-controller-team-%e2%80%93-product---specialty-controller,Bank Of America,8,0,6,4,2,3,0,0,banking,Finance
senior-product-specialty-controller-%e2%80%93-team-lead,Bank Of America,10,0,7,5,2,3,0,0,banking,Finance
senior-vice-president%3b-portfolio-manager-iii,Bank Of America,15,8,17,16,3,2,2,11,finance,Finance
analyst,Bank Of America,35,28,33,36,11,4,3,36,marketing,Finance
relationship-banker-valley-almansor-financial-center-alhambra-ca-bilingual-mandarin-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
analyst,Bank Of America,14,29,16,13,2,2,1,20,technology,FinTech
application-programmer-developer-wire-transfer,Bank Of America,7,19,6,5,6,2,5,9,technology,FinTech
regulatory-reporting-sr-data-technology-analyst-non-financial-regulatory-reporting-nfrr-band-5,Bank Of America,9,10,4,3,9,2,1,15,data science,FinTech
business-banking-relationship-manager-development-program--san-francisco-ca,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--orlando-fl,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--tampa-fl,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
portland-metro-financial-center-operations-manager-portland-or-area,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
merrill-edge-financial-solutions-advisor-saint-paul-mn,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
columbus-market-merrill-edge-financial-solutions-advisor-state-and-schrock-financial-center-westerville--oh,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
merrill-edge-financial-solutions-advisor-norman-main-financial-center-norman-ok,Bank Of America,22,12,20,11,0,3,0,10,banking,Finance
business-banking-relationship-manager-development-program--atlanta-ga,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--mclean-va,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--cherry-hill-iselin-or-lakewood--nj,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--chicago-il,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--farmington-hills-mi,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--cleveland-oh,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--new-york-ny,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
relationship-banker-retail-banking-bell-road-and-black-canyon-phoenix-az,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
financial-center-manager-bilingual-spanish-required-desert-sky-financial-center-phoenix-az,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
financial-center-operations-managers-hialeah-north-hialeah-spanish-required,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
business-banking-relationship-manager-development-program--san-antonio-texas,Bank Of America,8,8,7,6,2,1,1,4,banking,Finance
business-banking-relationship-manager-development-program--austin-texas,Bank Of America,8,8,7,6,2,1,1,4,banking,Finance
business-banking-relationship-manager-development-program--houston-texas,Bank Of America,8,8,7,6,2,1,1,4,banking,Finance
business-banking-relationship-manager-development-program--city-of-industry-ca,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--newport-beach-ca,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
business-banking-relationship-manager-development-program--philadelphia-pa,Bank Of America,5,6,4,2,1,0,0,2,technology,FinTech
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
sr-business-control-specialist,Bank Of America,6,3,5,4,1,2,0,5,banking,Finance
merrill-edge-financial-solutions-advisor-development-program-san-tomas-industrial--financial-center-ca,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
financial-services-representative,Bank Of America,8,5,7,7,1,1,0,8,banking,Finance
associate-%e2%80%93-gm-and-gbam-coo---gcib-analytics-and-reporting,Bank Of America,8,5,9,11,1,5,0,2,marketing,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
regulatory-interpretation-sr-analyst-nfrr-band-4,Bank Of America,0,0,0,0,0,0,0,0,banking,Finance
relationship-banker-stony-island-chicago-il,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
relationship-manager-bilingual-required-aurora-indian-trail-fc-il,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker-san-antonio-tx-1703-vance-jackson-rd-bilingual-spanish-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
mo--sr-trading-sales-assistant,Bank Of America,0,0,0,1,0,0,0,0,marketing,Finance
registered-client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
portfolio-manager-associate-dallas-tx,Bank Of America,9,3,9,9,1,4,2,5,banking,Finance
sr-lending-officer--santa-clarita-and-surrounding-areas,Bank Of America,29,30,28,28,10,7,9,31,data science,FinTech
risk-analysis-manager,Bank Of America,3,1,2,4,2,0,0,3,marketing,Finance
indiana-relationship-banker-indianapolis-in,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
indiana-relationship-banker-indianapolis-in,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
indiana-relationship-banker-indianapolis-in,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
ohio-relationship-banker-cincinnati-oh,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
ohio-relationship-banker-cincinnati-oh,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
financial-center-ops-mgr-carol-stream-fox-valley-south-chicago-il,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
relationship-banker-irving-tx-330-w-irving-blvd-bilingual-spanish-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
sr-product-manager,Bank Of America,24,13,24,26,4,4,1,19,marketing,Finance
client-service-representative-managed-account-platform-support,Bank Of America,3,6,2,3,1,2,0,5,technology,FinTech
business-support-manager-ii,Bank Of America,18,8,15,14,1,6,0,5,banking,Finance
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
senior-financial-analyst--reporting-sql,Bank Of America,12,9,10,13,7,2,1,7,marketing,Finance
small-business-banker-voorhees,Bank Of America,46,15,47,26,3,6,3,20,finance,Finance
assessor-third-party,Bank Of America,14,18,10,4,0,2,2,8,technology,FinTech
relationship-banker-beverly-hills-main-financial-center-beverly-hills-ca,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
naples-market-relationship-banker-marco-island-financial-center-marco-island-fl-spanish-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
fort-myers-market-financial-center-operations-manager-immokalee-financial-center-immokalee-fl-spanish-required,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
relationship-banker-burlington-ma-area,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
space-coast-market-relationship-manager-edgewater-financial-center-edgewater-fl,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
jacksonville-south-market-relationship-banker-plaza-financial-center-jacksonville-fl,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
small-business-banker-huntington,Bank Of America,46,15,47,26,3,6,3,20,finance,Finance
financial-advisor-development-program-career-night,Bank Of America,12,12,12,12,1,2,1,13,data science,FinTech
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
private-client-manager-ii-chicago-il,Bank Of America,15,9,14,15,0,5,1,10,banking,Finance
financial-center-operations-manager-northbrook-il-1315-lake-cook-rd,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
hillsborough-wesley-chapel-financial-center-manager--branch-manager-spanish-preferred,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
space-coast-market-financial-center-operations-manager-south-nova-road-financial-center-port-orange-fl,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
relationship-manager--seacoast-nh-area,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
advisor-development-program--relationship-manager-rancho-santa-margarita-financial-center--rancho-santa-margarita-ca,Bank Of America,8,8,8,6,0,0,1,10,data science,FinTech
financial-center-manager-greater-chattanooga-area,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
space-coast-market-relationship-banker-new-smyrna-beach-west-financial-center-new-smyrna-beach-fl,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
orange-park-gainesville-market-relationship-banker-orange-park-financial-center-orange-park-fl,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
volusia-market-financial-center-operations-manager-deland-financial-center-deland-fl,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
financial-center-operations-manager-northgate-chattanooga-market,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
financial-advisor-development-program-career-night,Bank Of America,12,12,12,12,1,2,1,13,data science,FinTech
registered-client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
merrill-lynch-financial-advisor-development-program--virtual-career-night---thursday-february-7th-2019--6pm-cst,Bank Of America,16,18,16,14,1,3,2,15,technology,FinTech
commercial-credit-underwriter-ii,Bank Of America,20,10,10,11,3,1,0,7,banking,Finance
commercial-credit-underwriter-i,Bank Of America,20,10,10,11,3,1,0,7,banking,Finance
greater-bloomfield-relationship-banker-bloomfield-hills-mi,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
dev-ops-engineer,Bank Of America,2,3,2,1,0,1,0,1,technology,FinTech
data-scientist-ii-robotics,Bank Of America,3,7,3,3,2,1,1,2,technology,FinTech
application-programmer,Bank Of America,7,32,6,4,9,1,9,16,technology,FinTech
relationship-manager-bilingual-spanish-required-geneva-fc-il,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-manager-bilingual-spanish-required-wheaton-fc-il,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-manager-bilingual-spanish--aurora-indian-trail-fc-il,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
relationship-banker-gulf-coast-market-friendswood-tx--bilingual-spanish-speaker-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-manager-baybrook-financial-center-friendswood-tx,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-manager-gulf-coast-market-covering-the-pasadena-and-clear-lake-tx-areas,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
merrill-edge-financial-solutions-advisor--menlo-park-financial-center--menlo-park-ca,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
lines-and-loans-portfolio-monitoring-credit-support-associate,Bank Of America,10,1,8,6,3,1,0,5,banking,Finance
recovery-strategy-analyst-ii-iii-sas-or-sql,Bank Of America,9,11,9,9,16,5,3,18,data science,FinTech
sr-marketing-advisor-i,Bank Of America,1,5,5,8,1,3,2,3,marketing,Finance
risk-policy-manager,Bank Of America,5,8,3,1,1,0,1,3,technology,FinTech
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
fc-lending-officer-north-bay-sonoma-rohnert-park-east-petaluma-santa-rosa-ca,Bank Of America,26,27,26,28,7,7,6,29,data science,FinTech
corona-main-relationship-manager-bilingual-spanish-preferred-corona-ca-area-corona-market,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
scripps-poway-parkway-relationship-manager-bilingual-mandarin-preferred-san-diego-ca--north-san-diego-corridor,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
client-associate,Bank Of America,5,2,5,3,0,0,0,4,banking,Finance
relationship-manager-sales--peninsula-market--10th-and-pacific-fc--san-pedro-ca-spanish-bilingual-skills-required,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-manager-sales---south-oc-coast-market--ladera-ranch,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
macomb-county-east-relationship-manager-sterling-heights-mi,Bank Of America,16,8,16,20,0,12,0,6,marketing,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
relationship-banker-cambridgeside-galleria,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-manager-harvard-square-cambridge-ma,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
isg-portfolio-strategist,Bank Of America,6,2,5,6,3,0,0,5,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
relationship-banker-medford-bilingual-spanish-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-banker-skyland-greater-asheville,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-manager-sales-laurel-financial-center-gaithersburg-laurel-md,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker-southampton-bilingual-spanish-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
centralized-sb-banker-inbound,Bank Of America,8,1,7,5,1,2,0,0,banking,Finance
mobile-developer-ios-or-android,Bank Of America,3,5,3,3,2,0,2,4,technology,FinTech
merrill-lynch-financial-advisor-development-program-career-event-boston-ma-2-11,Bank Of America,16,18,16,14,1,3,2,15,technology,FinTech
chicago-sw-financial-center-operations-manager-garfield-ridge-fc-bilingual-spanish-or-polish-preferred,Bank Of America,54,36,43,38,4,18,7,27,banking,Finance
sr-principal-engineer-enterprise-independent-testing-jersey-city-nj-or-charlotte-nc,Bank Of America,4,11,5,5,3,0,5,5,technology,FinTech
quantitative-analyst-ii,Bank Of America,5,4,5,6,4,2,0,8,data science,FinTech
relationship-banker-central-middlesex-smith-street-fc-spanish-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-banker-morris-somerset-market-plainfield-fc-spanish-speaking-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
financial-center-operations-manager-cambridge-ma-area,Bank Of America,31,25,25,23,2,7,4,23,banking,Finance
relationship-banker-little-neck-financial-center-hampton-roads-east-market,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
merrill-edge-financial-solutions-advisor-development-program-%e2%80%93-azusa-financial-center--%e2%80%93-azusa-ca,Bank Of America,23,19,24,18,2,5,1,20,finance,Finance
relationship-manager--highland-jonesboro-ar,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-manager-laredo-tx-5313-san-dario-ave-bilingual-spanish-required,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
project-manager-%e2%80%93-transformation-ops-ex,Bank Of America,8,7,6,10,1,1,1,3,marketing,Finance
process-design-consultant-i-%e2%80%93-transformation-ops-ex,Bank Of America,12,2,6,6,1,1,0,1,banking,Finance
program-implementation-manager,Bank Of America,9,12,4,10,1,6,0,10,technology,FinTech
small-business-banker-manager-sbb,Bank Of America,29,6,29,21,3,12,0,12,banking,Finance
quantitative-data-scientist,Bank Of America,5,7,5,0,4,0,0,6,technology,FinTech
relationship-manager--f-t-40hrs-sacramento-west-market-woodland-financial-center-woodland-californiaspanish-preferred,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
analyst-associate-%e2%80%93-amrs-research---machinery-industry-research-analyst,Bank Of America,1,5,2,3,6,1,3,8,data science,FinTech
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
relationship-manager-brownsville-tx-2635-boca-chica-blvd-bilingual-spanish-required,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker-san-antonio-tx-3500-san-pedro-ave-bilingual-spanish-required,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
merrill-lynch-financial-advisor-development-program,Bank Of America,16,18,16,14,1,3,2,15,technology,FinTech
relationship-manager-foothill-market-roseville-square-fc-roseville-ca,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
financial-center-manager-middletown-meriden-ct-area,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
relationship-manager-san-juan-tx-1701-e-expressway-83-bilingual-spanish-required,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
claims-initiation-analyst-ii,Bank Of America,10,4,7,5,4,3,2,5,banking,Finance
financial-center-manager-sunset-echo-park-financial-center-los-angeles-ca-bilingual-spanish-or-mandarin-preferred,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
consumer-risk-strategy-analytics-iv-card-and-cvl,Bank Of America,24,27,20,19,43,14,1,59,data science,FinTech
relationship-manager-oakland-chinatown-fc--oakland-ca--cantonese-speaker-required,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
merrill-lynch-financial-advisor-development-program,Bank Of America,16,18,16,14,1,3,2,15,technology,FinTech
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
financial-center-manager--denver-colorado-area-financial-center--denver-colorado--full-time,Bank Of America,28,23,25,25,4,9,4,23,banking,Finance
client-service-representative,Bank Of America,28,10,23,30,1,23,1,5,marketing,Finance
relationship-banker---north-lake-ocala-market---the-villages-financial-center---spanish-preferred,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
relationship-banker-93rd-and-commercial-chicago-il,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
sql-server-developer---dba,Bank Of America,4,20,2,3,12,1,3,15,technology,FinTech
business-banking-sr-relationship-manager-rm-omaha-ne,Bank Of America,11,4,9,11,3,3,1,6,banking,Finance
fc-lending-officer,Bank Of America,26,27,26,28,7,7,6,29,data science,FinTech
relationship-manager--cherry-creek-financial-center-areas--denver-co--full-time,Bank Of America,26,22,25,29,1,4,3,28,marketing,Finance
relationship-banker--cherry-creek-area-financial-centers--denver-co--full-time,Bank Of America,58,21,48,36,1,28,1,9,banking,Finance
merrill-edge-financial-solutions-advisor--los-angeles-orange-county-and-south-bay-areas,Bank Of America,53,16,50,32,0,15,0,18,banking,Finance
merrill-edge-financial-solutions-advisor--los-angeles-orange-county-and-south-bay-areas--bilingual-spanish-or-mandarin-required,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
merrill-edge-financial-solutions-advisor--san-francisco-ca,Bank Of America,22,22,23,19,3,2,3,28,data science,FinTech
client-services-representative-ii,Bank Of America,26,28,21,22,4,6,7,25,technology,FinTech
client-service-representative,Bank Of America,19,7,14,19,0,14,0,2,banking,Finance
